'codigo_DEPARTAMENTO','codigo_MUNICIPIO','nombre_MUNICIPIO',,
'01','01','AHUACHAPAN','l10n_sv_dpto','l10n_sv_dpto.01'
'01','02','APANECA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','03','ATIQUIZAYA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','04','CONCEPCION DE ATACO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','05','EL REFUGIO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','06','GUAYMANGO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','07','JUJUTLA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','08','SAN FRANCISCO MENENDEZ','l10n_sv_dpto','l10n_sv_dpto.01'
'01','09','SAN LORENZO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','10','SAN PEDRO PUXTLA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','11','TACUBA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','12','TURIN','l10n_sv_dpto','l10n_sv_dpto.01'
'02','01','CANDELARIA DE LA FRONTERA','l10n_sv_dpto','l10n_sv_dpto.02'
'02','02','COATEPEQUE','l10n_sv_dpto','l10n_sv_dpto.02'
'02','03','CHALCHUAPA','l10n_sv_dpto','l10n_sv_dpto.02'
'02','04','EL CONGO','l10n_sv_dpto','l10n_sv_dpto.02'
'02','05','EL PORVENIR','l10n_sv_dpto','l10n_sv_dpto.02'
'02','06','MASAHUAT','l10n_sv_dpto','l10n_sv_dpto.02'
'02','07','METAPAN','l10n_sv_dpto','l10n_sv_dpto.02'
'02','08','SAN ANTONIO PAJONAL','l10n_sv_dpto','l10n_sv_dpto.02'
'02','09','SAN SEBASTIAN SALITRILLO','l10n_sv_dpto','l10n_sv_dpto.02'
'02','10','SANTA ANA','l10n_sv_dpto','l10n_sv_dpto.02'
'02','11','STA ROSA GUACHI','l10n_sv_dpto','l10n_sv_dpto.02'
'02','12','STGO D LA FRONT','l10n_sv_dpto','l10n_sv_dpto.02'
'02','13','TEXISTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.02'
'03','01','ACAJUTLA','l10n_sv_dpto','l10n_sv_dpto.03'
'03','02','ARMENIA','l10n_sv_dpto','l10n_sv_dpto.03'
'03','03','CALUCO','l10n_sv_dpto','l10n_sv_dpto.03'
'03','04','CUISNAHUAT','l10n_sv_dpto','l10n_sv_dpto.03'
'03','05','STA I ISHUATAN','l10n_sv_dpto','l10n_sv_dpto.03'
'03','06','IZALCO','l10n_sv_dpto','l10n_sv_dpto.03'
'03','07','JUAYUA','l10n_sv_dpto','l10n_sv_dpto.03'
'03','08','NAHUIZALCO','l10n_sv_dpto','l10n_sv_dpto.03'
'03','09','NAHULINGO','l10n_sv_dpto','l10n_sv_dpto.03'
'03','10','SALCOATITAN','l10n_sv_dpto','l10n_sv_dpto.03'
'03','11','SAN ANTONIO DEL MONTE','l10n_sv_dpto','l10n_sv_dpto.03'
'03','12','SAN JULIAN','l10n_sv_dpto','l10n_sv_dpto.03'
'03','13','STA C MASAHUAT','l10n_sv_dpto','l10n_sv_dpto.03'
'03','14','SANTO DOMINGO GUZMAN','l10n_sv_dpto','l10n_sv_dpto.03'
'03','15','SONSONATE','l10n_sv_dpto','l10n_sv_dpto.03'
'03','16','SONZACATE','l10n_sv_dpto','l10n_sv_dpto.03'
'04','01','AGUA CALIENTE','l10n_sv_dpto','l10n_sv_dpto.04'
'04','02','ARCATAO','l10n_sv_dpto','l10n_sv_dpto.04'
'04','03','AZACUALPA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','04','CITALA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','05','COMALAPA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','06','CONCEPCION QUEZALTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.04'
'04','07','CHALATENANGO','l10n_sv_dpto','l10n_sv_dpto.04'
'04','08','DULCE NOM MARIA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','09','EL CARRIZAL','l10n_sv_dpto','l10n_sv_dpto.04'
'04','10','EL PARAISO','l10n_sv_dpto','l10n_sv_dpto.04'
'04','11','LA LAGUNA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','12','LA PALMA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','13','LA REINA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','14','LAS VUELTAS','l10n_sv_dpto','l10n_sv_dpto.04'
'04','15','NOMBRE DE JESUS','l10n_sv_dpto','l10n_sv_dpto.04'
'04','16','NVA CONCEPCION','l10n_sv_dpto','l10n_sv_dpto.04'
'04','17','NUEVA TRINIDAD','l10n_sv_dpto','l10n_sv_dpto.04'
'04','18','OJOS DE AGUA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','19','POTONICO','l10n_sv_dpto','l10n_sv_dpto.04'
'04','20','SAN ANT LA CRUZ','l10n_sv_dpto','l10n_sv_dpto.04'
'04','21','SAN ANT RANCHOS','l10n_sv_dpto','l10n_sv_dpto.04'
'04','22','SAN FERNANDO','l10n_sv_dpto','l10n_sv_dpto.04'
'04','23','SAN FRANCISCO LEMPA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','24','SAN FRANCISCO MORAZAN','l10n_sv_dpto','l10n_sv_dpto.04'
'04','25','SAN IGNACIO','l10n_sv_dpto','l10n_sv_dpto.04'
'04','26','SAN I LABRADOR','l10n_sv_dpto','l10n_sv_dpto.04'
'04','27','SAN J CANCASQUE','l10n_sv_dpto','l10n_sv_dpto.04'
'04','28','SAN JOSE FLORES','l10n_sv_dpto','l10n_sv_dpto.04'
'04','29','SAN LUIS CARMEN','l10n_sv_dpto','l10n_sv_dpto.04'
'04','30','SN MIG MERCEDES','l10n_sv_dpto','l10n_sv_dpto.04'
'04','31','SAN RAFAEL','l10n_sv_dpto','l10n_sv_dpto.04'
'04','32','SANTA RITA','l10n_sv_dpto','l10n_sv_dpto.04'
'04','33','TEJUTLA','l10n_sv_dpto','l10n_sv_dpto.04'
'05','01','ANTGO CUSCATLAN','l10n_sv_dpto','l10n_sv_dpto.05'
'05','02','CIUDAD ARCE','l10n_sv_dpto','l10n_sv_dpto.05'
'05','03','COLON','l10n_sv_dpto','l10n_sv_dpto.05'
'05','04','COMASAGUA','l10n_sv_dpto','l10n_sv_dpto.05'
'05','05','CHILTIUPAN','l10n_sv_dpto','l10n_sv_dpto.05'
'05','06','HUIZUCAR','l10n_sv_dpto','l10n_sv_dpto.05'
'05','07','JAYAQUE','l10n_sv_dpto','l10n_sv_dpto.05'
'05','08','JICALAPA','l10n_sv_dpto','l10n_sv_dpto.05'
'05','09','LA LIBERTAD','l10n_sv_dpto','l10n_sv_dpto.05'
'05','10','NUEVO CUSCATLAN','l10n_sv_dpto','l10n_sv_dpto.05'
'05','11','SANTA TECLA','l10n_sv_dpto','l10n_sv_dpto.05'
'05','12','QUEZALTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.05'
'05','13','SACACOYO','l10n_sv_dpto','l10n_sv_dpto.05'
'05','14','SN J VILLANUEVA','l10n_sv_dpto','l10n_sv_dpto.05'
'05','15','SAN JUAN OPICO','l10n_sv_dpto','l10n_sv_dpto.05'
'05','16','SAN MATIAS','l10n_sv_dpto','l10n_sv_dpto.05'
'05','17','SAN P TACACHICO','l10n_sv_dpto','l10n_sv_dpto.05'
'05','18','TAMANIQUE','l10n_sv_dpto','l10n_sv_dpto.05'
'05','19','TALNIQUE','l10n_sv_dpto','l10n_sv_dpto.05'
'05','20','TEOTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.05'
'05','21','TEPECOYO','l10n_sv_dpto','l10n_sv_dpto.05'
'05','22','ZARAGOZA','l10n_sv_dpto','l10n_sv_dpto.05'
'06','01','AGUILARES','l10n_sv_dpto','l10n_sv_dpto.06'
'06','02','APOPA','l10n_sv_dpto','l10n_sv_dpto.06'
'06','03','AYUTUXTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.06'
'06','04','CUSCATANCINGO','l10n_sv_dpto','l10n_sv_dpto.06'
'06','05','EL PAISNAL','l10n_sv_dpto','l10n_sv_dpto.06'
'06','06','GUAZAPA','l10n_sv_dpto','l10n_sv_dpto.06'
'06','07','ILOPANGO','l10n_sv_dpto','l10n_sv_dpto.06'
'06','08','MEJICANOS','l10n_sv_dpto','l10n_sv_dpto.06'
'06','09','NEJAPA','l10n_sv_dpto','l10n_sv_dpto.06'
'06','10','PANCHIMALCO','l10n_sv_dpto','l10n_sv_dpto.06'
'06','11','ROSARIO DE MORA','l10n_sv_dpto','l10n_sv_dpto.06'
'06','12','SAN MARCOS','l10n_sv_dpto','l10n_sv_dpto.06'
'06','13','SAN MARTIN','l10n_sv_dpto','l10n_sv_dpto.06'
'06','14','SAN SALVADOR','l10n_sv_dpto','l10n_sv_dpto.06'
'06','15','STG TEXACUANGOS','l10n_sv_dpto','l10n_sv_dpto.06'
'06','16','SANTO TOMAS','l10n_sv_dpto','l10n_sv_dpto.06'
'06','17','SOYAPANGO','l10n_sv_dpto','l10n_sv_dpto.06'
'06','18','TONACATEPEQUE','l10n_sv_dpto','l10n_sv_dpto.06'
'06','19','CIUDAD DELGADO','l10n_sv_dpto','l10n_sv_dpto.06'
'07','01','CANDELARIA','l10n_sv_dpto','l10n_sv_dpto.07'
'07','02','COJUTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.07'
'07','03','EL CARMEN','l10n_sv_dpto','l10n_sv_dpto.07'
'07','04','EL ROSARIO','l10n_sv_dpto','l10n_sv_dpto.07'
'07','05','MONTE SAN JUAN','l10n_sv_dpto','l10n_sv_dpto.07'
'07','06','ORAT CONCEPCION','l10n_sv_dpto','l10n_sv_dpto.07'
'07','07','SAN B PERULAPIA','l10n_sv_dpto','l10n_sv_dpto.07'
'07','08','SAN CRISTOBAL','l10n_sv_dpto','l10n_sv_dpto.07'
'07','09','SAN J GUAYABAL','l10n_sv_dpto','l10n_sv_dpto.07'
'07','10','SAN P PERULAPAN','l10n_sv_dpto','l10n_sv_dpto.07'
'07','11','SAN RAF CEDROS','l10n_sv_dpto','l10n_sv_dpto.07'
'07','12','SAN RAMON','l10n_sv_dpto','l10n_sv_dpto.07'
'07','13','STA C ANALQUITO','l10n_sv_dpto','l10n_sv_dpto.07'
'07','14','STA C MICHAPA','l10n_sv_dpto','l10n_sv_dpto.07'
'07','15','SUCHITOTO','l10n_sv_dpto','l10n_sv_dpto.07'
'07','16','TENANCINGO','l10n_sv_dpto','l10n_sv_dpto.07'
'08','01','CUYULTITAN','l10n_sv_dpto','l10n_sv_dpto.08'
'08','02','ROSARIO LA PAZ','l10n_sv_dpto','l10n_sv_dpto.08'
'08','03','JERUSALEN','l10n_sv_dpto','l10n_sv_dpto.08'
'08','04','MERCED LA CEIBA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','05','OLOCUILTA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','06','PARAISO OSORIO','l10n_sv_dpto','l10n_sv_dpto.08'
'08','07','SN ANT MASAHUAT','l10n_sv_dpto','l10n_sv_dpto.08'
'08','08','SAN EMIGDIO','l10n_sv_dpto','l10n_sv_dpto.08'
'08','09','SN FCO CHINAMEC','l10n_sv_dpto','l10n_sv_dpto.08'
'08','10','SAN J NONUALCO','l10n_sv_dpto','l10n_sv_dpto.08'
'08','11','SAN JUAN TALPA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','12','SAN JUAN TEPEZONTES','l10n_sv_dpto','l10n_sv_dpto.08'
'08','13','SAN LUIS TALPA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','14','SAN MIGUEL TEPEZONTES','l10n_sv_dpto','l10n_sv_dpto.08'
'08','15','SAN PEDRO MASAHUAT','l10n_sv_dpto','l10n_sv_dpto.08'
'08','16','SAN PEDRO NONUALCO','l10n_sv_dpto','l10n_sv_dpto.08'
'08','17','SAN R OBRAJUELO','l10n_sv_dpto','l10n_sv_dpto.08'
'08','18','STA MA OSTUMA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','19','STGO NONUALCO','l10n_sv_dpto','l10n_sv_dpto.08'
'08','20','TAPALHUACA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','21','ZACATECOLUCA','l10n_sv_dpto','l10n_sv_dpto.08'
'08','22','SN LUIS LA HERR','l10n_sv_dpto','l10n_sv_dpto.08'
'09','01','CINQUERA','l10n_sv_dpto','l10n_sv_dpto.09'
'09','02','GUACOTECTI','l10n_sv_dpto','l10n_sv_dpto.09'
'09','03','ILOBASCO','l10n_sv_dpto','l10n_sv_dpto.09'
'09','04','JUTIAPA','l10n_sv_dpto','l10n_sv_dpto.09'
'09','05','SAN ISIDRO','l10n_sv_dpto','l10n_sv_dpto.09'
'09','06','SENSUNTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.09'
'09','07','TEJUTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.09'
'09','08','VICTORIA','l10n_sv_dpto','l10n_sv_dpto.09'
'09','09','DOLORES','l10n_sv_dpto','l10n_sv_dpto.09'
'10','01','APASTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.10'
'10','02','GUADALUPE','l10n_sv_dpto','l10n_sv_dpto.10'
'10','03','SAN CAY ISTEPEQ','l10n_sv_dpto','l10n_sv_dpto.10'
'10','04','SANTA CLARA','l10n_sv_dpto','l10n_sv_dpto.10'
'10','05','SANTO DOMINGO','l10n_sv_dpto','l10n_sv_dpto.10'
'10','06','SN EST CATARINA','l10n_sv_dpto','l10n_sv_dpto.10'
'10','07','SAN ILDEFONSO','l10n_sv_dpto','l10n_sv_dpto.10'
'10','08','SAN LORENZO','l10n_sv_dpto','l10n_sv_dpto.10'
'10','09','SAN SEBASTIAN','l10n_sv_dpto','l10n_sv_dpto.10'
'10','10','SAN VICENTE','l10n_sv_dpto','l10n_sv_dpto.10'
'10','11','TECOLUCA','l10n_sv_dpto','l10n_sv_dpto.10'
'10','12','TEPETITAN','l10n_sv_dpto','l10n_sv_dpto.10'
'10','13','VERAPAZ','l10n_sv_dpto','l10n_sv_dpto.10'
'11','01','ALEGRIA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','02','BERLIN','l10n_sv_dpto','l10n_sv_dpto.11'
'11','03','CALIFORNIA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','04','CONCEP BATRES','l10n_sv_dpto','l10n_sv_dpto.11'
'11','05','EL TRIUNFO','l10n_sv_dpto','l10n_sv_dpto.11'
'11','06','EREGUAYQUIN','l10n_sv_dpto','l10n_sv_dpto.11'
'11','07','ESTANZUELAS','l10n_sv_dpto','l10n_sv_dpto.11'
'11','08','JIQUILISCO','l10n_sv_dpto','l10n_sv_dpto.11'
'11','09','JUCUAPA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','10','JUCUARAN','l10n_sv_dpto','l10n_sv_dpto.11'
'11','11','MERCEDES UMAÃ‘A','l10n_sv_dpto','l10n_sv_dpto.11'
'11','12','NUEVA GRANADA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','13','OZATLAN','l10n_sv_dpto','l10n_sv_dpto.11'
'11','14','PTO EL TRIUNFO','l10n_sv_dpto','l10n_sv_dpto.11'
'11','15','SAN AGUSTIN','l10n_sv_dpto','l10n_sv_dpto.11'
'11','16','SN BUENAVENTURA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','17','SAN DIONISIO','l10n_sv_dpto','l10n_sv_dpto.11'
'11','18','SANTA ELENA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','19','SAN FCO JAVIER','l10n_sv_dpto','l10n_sv_dpto.11'
'11','20','SANTA MARIA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','21','STGO DE MARIA','l10n_sv_dpto','l10n_sv_dpto.11'
'11','22','TECAPAN','l10n_sv_dpto','l10n_sv_dpto.11'
'11','23','USULUTAN','l10n_sv_dpto','l10n_sv_dpto.11'
'12','01','CAROLINA','l10n_sv_dpto','l10n_sv_dpto.12'
'12','02','CIUDAD BARRIOS','l10n_sv_dpto','l10n_sv_dpto.12'
'12','03','COMACARAN','l10n_sv_dpto','l10n_sv_dpto.12'
'12','04','CHAPELTIQUE','l10n_sv_dpto','l10n_sv_dpto.12'
'12','05','CHINAMECA','l10n_sv_dpto','l10n_sv_dpto.12'
'12','06','CHIRILAGUA','l10n_sv_dpto','l10n_sv_dpto.12'
'12','07','EL TRANSITO','l10n_sv_dpto','l10n_sv_dpto.12'
'12','08','LOLOTIQUE','l10n_sv_dpto','l10n_sv_dpto.12'
'12','09','MONCAGUA','l10n_sv_dpto','l10n_sv_dpto.12'
'12','10','NUEVA GUADALUPE','l10n_sv_dpto','l10n_sv_dpto.12'
'12','11','NVO EDEN S JUAN','l10n_sv_dpto','l10n_sv_dpto.12'
'12','12','QUELEPA','l10n_sv_dpto','l10n_sv_dpto.12'
'12','13','SAN ANT D MOSCO','l10n_sv_dpto','l10n_sv_dpto.12'
'12','14','SAN GERARDO','l10n_sv_dpto','l10n_sv_dpto.12'
'12','15','SAN JORGE','l10n_sv_dpto','l10n_sv_dpto.12'
'12','16','SAN LUIS REINA','l10n_sv_dpto','l10n_sv_dpto.12'
'12','17','SAN MIGUEL','l10n_sv_dpto','l10n_sv_dpto.12'
'12','18','SAN RAF ORIENTE','l10n_sv_dpto','l10n_sv_dpto.12'
'12','19','SESORI','l10n_sv_dpto','l10n_sv_dpto.12'
'12','20','ULUAZAPA','l10n_sv_dpto','l10n_sv_dpto.12'
'13','01','ARAMBALA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','02','CACAOPERA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','03','CORINTO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','04','CHILANGA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','05','DELIC DE CONCEP','l10n_sv_dpto','l10n_sv_dpto.13'
'13','06','EL DIVISADERO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','07','EL ROSARIO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','08','GUALOCOCTI','l10n_sv_dpto','l10n_sv_dpto.13'
'13','09','GUATAJIAGUA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','10','JOATECA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','11','JOCOAITIQUE','l10n_sv_dpto','l10n_sv_dpto.13'
'13','12','JOCORO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','13','LOLOTIQUILLO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','14','MEANGUERA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','15','OSICALA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','16','PERQUIN','l10n_sv_dpto','l10n_sv_dpto.13'
'13','17','SAN CARLOS','l10n_sv_dpto','l10n_sv_dpto.13'
'13','18','SAN FERNANDO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','19','SAN FCO GOTERA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','20','SAN ISIDRO','l10n_sv_dpto','l10n_sv_dpto.13'
'13','21','SAN SIMON','l10n_sv_dpto','l10n_sv_dpto.13'
'13','22','SENSEMBRA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','23','SOCIEDAD','l10n_sv_dpto','l10n_sv_dpto.13'
'13','24','TOROLA','l10n_sv_dpto','l10n_sv_dpto.13'
'13','25','YAMABAL','l10n_sv_dpto','l10n_sv_dpto.13'
'13','26','YOLOAIQUIN','l10n_sv_dpto','l10n_sv_dpto.13'
'14','01','ANAMOROS','l10n_sv_dpto','l10n_sv_dpto.14'
'14','02','BOLIVAR','l10n_sv_dpto','l10n_sv_dpto.14'
'14','03','CONCEP DE OTE','l10n_sv_dpto','l10n_sv_dpto.14'
'14','04','CONCHAGUA','l10n_sv_dpto','l10n_sv_dpto.14'
'14','05','EL CARMEN','l10n_sv_dpto','l10n_sv_dpto.14'
'14','06','EL SAUCE','l10n_sv_dpto','l10n_sv_dpto.14'
'14','07','INTIPUCA','l10n_sv_dpto','l10n_sv_dpto.14'
'14','08','LA UNION','l10n_sv_dpto','l10n_sv_dpto.14'
'14','09','LISLIQUE','l10n_sv_dpto','l10n_sv_dpto.14'
'14','10','MEANG DEL GOLFO','l10n_sv_dpto','l10n_sv_dpto.14'
'14','11','NUEVA ESPARTA','l10n_sv_dpto','l10n_sv_dpto.14'
'14','12','PASAQUINA','l10n_sv_dpto','l10n_sv_dpto.14'
'14','13','POLOROS','l10n_sv_dpto','l10n_sv_dpto.14'
'14','14','SAN ALEJO','l10n_sv_dpto','l10n_sv_dpto.14'
'14','15','SAN JOSE','l10n_sv_dpto','l10n_sv_dpto.14'
'14','16','SANTA ROSA LIMA','l10n_sv_dpto','l10n_sv_dpto.14'
'14','17','YAYANTIQUE','l10n_sv_dpto','l10n_sv_dpto.14'
'14','18','YUCUAIQUIN','l10n_sv_dpto','l10n_sv_dpto.14'
